Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
1/1/07,Glen Canyon National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,65
1/22/07,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
1/22/07,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Undetermined
1/29/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
1/29/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54
2/7/07,Gateway National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Undetermined
2/10/07,Black Canyon Of The Gunnison National Park,Fall/Slips,Unintentional,Fatal injury,Female,15-24
2/11/07,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
2/24/07,Mount Rainier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,45-54
3/3/07,Biscayne National Park,Other Transport Crash,Unintentional,Fatal injury,Male,25-34
3/6/07,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
3/7/07,Gateway National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
3/14/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,0-14
3/14/07,Colorado National Monument,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
3/19/07,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/19/07,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Female,45-54
3/23/07,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Male,35-44
3/23/07,Mount Rainier National Park,Drowning,Unintentional,Fatal injury,Female,35-44
3/27/07,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,35-44
3/29/07,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
3/31/07,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,55-64
4/2/07,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
4/5/07,Olympic National Park,Drowning,Unintentional,Fatal injury,Male,15-24
4/6/07,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
4/8/07,North Cascades National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
4/10/07,Redwood National and State Parks,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/14/07,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/15/07,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
4/19/07,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Female,35-44
4/23/07,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Female,35-44
4/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
4/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
4/30/07,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
4/30/07,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
5/3/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
5/3/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
5/14/07,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
5/15/07,Golden Gate National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/16/07,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/16/07,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/16/07,Golden Gate National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,35-44
5/17/07,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,25-34
5/17/07,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Female,35-44
5/17/07,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Female,55-64
5/19/07,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,25-34
5/21/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,15-24
5/27/07,Gulf Islands National Seashore,Other Transport Crash,Unintentional,Fatal injury,Female,35-44
5/28/07,Olympic National Park,Drowning,Unintentional,Fatal injury,Male,45-54
5/29/07,Haleakala National Park,Other Transport Crash,Unintentional,Fatal injury,Male,0-14
6/1/07,Acadia National Park,Drowning,Unintentional,Fatal injury,Female,55-64
6/2/07,Curecanti National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,45-54
6/3/07,Chickasaw National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/3/07,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
6/4/07,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,15-24
6/4/07,Zion National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
6/8/07,Zion National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
6/9/07,Golden Gate National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,45-54
6/9/07,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Male,55-64
6/10/07,Lake Meredith National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/10/07,Sequoia & Kings Canyon National Parks,Fall/Slips,Unintentional,Fatal injury,Male,15-24
6/14/07,Lake Mead National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,25-34
6/16/07,Point Reyes National Seashore,Drowning,Unintentional,Fatal injury,Male,25-34
6/16/07,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
6/16/07,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
6/16/07,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
6/16/07,Golden Gate National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,Undetermined
6/17/07,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
6/18/07,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,45-54
6/22/07,Whiskeytown National Recreation Area,Drowning,Unintentional,Fatal injury,Female,0-14
6/22/07,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,55-64
7/1/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
7/4/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
7/5/07,Delaware Water Gap National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Female,35-44
7/5/07,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Undetermined
7/6/07,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
7/7/07,Glen Canyon National Recreation Area,Poisoning,Unintentional,Fatal injury,Female,0-14
7/7/07,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
7/10/07,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
7/11/07,Yosemite National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
7/13/07,National Capital Parks-East,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
7/19/07,Colonial National Historical Park,Drowning,Unintentional,Fatal injury,Female,0-14
7/26/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,25-34
7/28/07,North Cascades National Park,Fall/Slips,Unintentional,Fatal injury,Female,55-64
8/2/07,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
8/4/07,Badlands National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
8/5/07,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/6/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
8/7/07,Wind Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
8/11/07,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/12/07,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,55-64
8/14/07,Yosemite National Park,Natural/Environmental,Unintentional,Fatal injury,Female,65
8/16/07,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
8/16/07,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
8/16/07,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,65
8/17/07,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65
8/19/07,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
8/19/07,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Female,Undetermined
8/19/07,Glen Canyon National Recreation Area,Other Specified,Unintentional,Fatal injury,Male,Undetermined
8/21/07,Sequoia & Kings Canyon National Parks,Fall/Slips,Unintentional,Fatal injury,Male,35-44
8/23/07,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
8/24/07,Glen Canyon National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,15-24
8/25/07,Point Reyes National Seashore,Drowning,Unintentional,Fatal injury,Male,Undetermined
8/25/07,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
9/1/07,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
9/4/07,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
9/7/07,Yellowstone National Park,Drowning,Unintentional,Fatal injury,Male,65
9/7/07,Yellowstone National Park,Drowning,Unintentional,Fatal injury,Male,65
9/8/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
9/12/07,Glen Echo Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/19/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
9/19/07,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
9/23/07,Biscayne National Park,Undetermined,Undetermined,Fatal injury,Male,Undetermined
9/26/07,Haleakala National Park,Other Transport Crash,Unintentional,Fatal injury,Female,65
9/28/07,Yellowstone National Park,Fall/Slips,Unintentional,Fatal injury,Female,25-34
9/28/07,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,55-64
9/29/07,New River Gorge National River,Fall/Slips,Unintentional,Fatal injury,Male,15-24
9/29/07,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
9/29/07,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
9/30/07,Katmai National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
9/30/07,Katmai National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
9/30/07,Katmai National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
9/30/07,Katmai National Park & Preserve,Other Transport Crash,Unintentional,Fatal injury,Undetermined,Undetermined
